date	map	vehicle	win	dmg	hitp
10.02.202319:24:31	Westfield	czech-Cz17_Vz_55	1	5673	0.952381
10.02.202319:24:31	Westfield	czech-Cz17_Vz_55	1	5673	0.952381
10.02.202319:24:31	Westfield	czech-Cz17_Vz_55	0	5673	0.952381
10.02.202319:24:31	Westfield	czech-Cz17_Vz_55	1	5673	0.952381
10.02.202319:24:31	Westfield	czech-Cz17_Vz_55	0	5673	0.952381
10.02.202319:24:31	Westfield	czech-Cz17_Vz_55	1	5673	0.952381
10.02.202319:24:31	Westfield	czech-Cz17_Vz_55	0	5673	0.952381
10.02.202319:24:31	Westfield	czech-Cz17_Vz_55	0	5673	0.952381
10.02.202319:24:31	Westfield	czech-Cz17_Vz_55	0	5673	0.952381
10.02.202319:24:31	Westfield	czech-Cz17_Vz_55	1	5673	0.952381
10.02.202319:24:31	Westfield	czech-Cz17_Vz_55	1	5673	0.952381
10.02.202319:24:31	Westfield	czech-Cz17_Vz_55	0	5673	0.952381
10.02.202319:24:31	Westfield	czech-Cz17_Vz_55	1	5673	0.952381
10.02.202319:24:31	Westfield	czech-Cz17_Vz_55	0	5673	0.952381
10.02.202319:24:31	Westfield	czech-Cz17_Vz_55	0	5673	0.952381
10.02.202319:24:31	Westfield	czech-Cz17_Vz_55	1	5673	0.952381
10.02.202319:24:31	Westfield	czech-Cz17_Vz_55	1	5673	0.952381
10.02.202319:24:31	Westfield	czech-Cz17_Vz_55	0	5673	0.952381
10.02.202319:24:31	Westfield	czech-Cz17_Vz_55	1	5673	0.952381
10.02.202319:24:31	Westfield	czech-Cz17_Vz_55	0	5673	0.952381
