t	autocorrelator	std
0	1.88794e+08	9.43968e+06
1	5.64231e+07	9.42787e+06
2	4.02243e+07	9.41605e+06
3	4.51606e+07	9.40421e+06
4	2.99836e+07	9.39236e+06
5	2.24772e+07	9.38049e+06
6	3.61322e+07	9.36861e+06
7	2.89651e+07	9.35671e+06
8	2.87586e+07	9.3448e+06
9	2.73703e+07	9.33287e+06
10	1.5921e+07	9.32093e+06
11	1.98186e+07	9.30897e+06
12	1.16173e+07	9.297e+06
13	1.36736e+07	9.28501e+06
14	1.5326e+07	9.27301e+06
15	4.73834e+06	9.26099e+06
16	-5.25803e+06	9.24895e+06
17	-5.66812e+06	9.2369e+06
18	-1.77296e+07	9.22484e+06
19	-2.22129e+07	9.21276e+06
